Kabinet,Foto,Minister-president,Partijen,Zetelverdeling,Verkiezing,Aantreden,Demissionair,Aftreden,Dagen
Schimmelpenninck,,,Conservatief,,,25 maart 1848,17 mei 1848,21 november 1848,241
De Kempenaer-Donker Curtius,,,Gematigd liberaal,,,21 november 1848,26 september 1849,1 november 1849,345
Thorbecke I,,,Liberaal,,,1 november 1849,17 april 1853,19 april 1853,1265
Van Hall-Donker Curtius,,,Conservatief,,,19 april 1853,24 juni 1856,1 juli 1856,1169
Van der Brugghen,,,Conservatief,,,1 juli 1856,1 maart 1858,18 maart 1858,625
Rochussen,,,Conservatief / liberaal,,,18 maart 1858,8 februari 1860,23 februari 1860,707
Van Hall-Van Heemstra,,,Conservatief / liberaal,,,23 februari 1860,24 februari 1861,14 maart 1861,385
Van Zuylen van Nijevelt-Van Heemstra,,,Conservatief / liberaal,,,14 maart 1861,17 december 1861,1 februari 1862,324
Thorbecke II,,,Liberaal,,,1 februari 1862,24 januari 1866,10 februari 1866,1470
Fransen van de Putte,,,Liberaal,,,10 februari 1866,19 mei 1866,1 juni 1866,111
Van Zuylen van Nijevelt,,,Conservatief,,,1 juni 1866,28 april 1868,4 juni 1868,734
Van Bosse-Fock,,,Liberaal,,,4 juni 1868,5 december 1870,4 januari 1871,944
Thorbecke III,,,Liberaal,,,4 januari 1871,6 juni 1872,6 juli 1872,549
De Vries-Fransen van de Putte,,,Liberaal,,,6 juli 1872,20 juni 1874,27 augustus 1874,782
Kabinet-Heemskerk-Van Lynden van Sandenburg,,,Conservatief,,,27 augustus 1874,27 augustus 1877,3 november 1877,1164
Kappeyne van de Coppello,,,Liberaal (vooruitstrevend),,,3 november 1877,11 juli 1879,20 augustus 1879,655
Van Lynden van Sandenburg,,,Liberaal (behoudend),,,20 augustus 1879,1 maart 1883,23 april 1883,1342
Heemskerk Azn.,,,Liberaal (behoudend),,,23 april 1883,30 maart 1888,21 april 1888,1825
Mackay,,,Christelijk,,,21 april 1888,9 juli 1891,21 augustus 1891,1217
Van Tienhoven,,,Liberaal,,,21 augustus 1891,4 april 1894,9 mei 1894,992
Röell,,,Liberaal (behoudend),,,9 mei 1894,28 juni 1897,27 juli 1897,1175
Pierson,,,Liberaal (vooruitstrevend),,,27 juli 1897,28 juni 1901,1 augustus 1901,1465
Kuyper,,,Christelijk,,,1 augustus 1901,3 juli 1905,17 augustus 1905,1477
De Meester,,,Liberaal,,,17 augustus 1905,21 december 1907,12 februari 1908,909
Heemskerk,,,Christelijk,,,12 februari 1908,26 juni 1913,29 augustus 1913,2025
Cort van der Linden,,,Liberaal (vooruitstrevend),,,29 augustus 1913,2 juli 1918,9 september 1918,1837
Ruijs de Beerenbrouck I,,Charles Ruijs de Beerenbrouck,"RKSP, ARP, CHU",,,9 september 1918,18 juli 1922,18 september 1922,1470
Ruijs de Beerenbrouck II,,Charles Ruijs de Beerenbrouck,"RKSP, ARP, CHU",,,18 september 1922,1 juli 1925,4 augustus 1925,1051
Colijn I,,Hendrikus Colijn (ARP),"RKSP, ARP, CHU",,,4 augustus 1925,11 november 1925,8 maart 1926,216
De Geer I,,Dirk Jan de Geer (CHU),"RKSP, ARP, CHU",,,8 maart 1926,3 juli 1929,10 augustus 1929,1251
Ruijs de Beerenbrouck III,,Charles Ruijs de Beerenbrouck,"RKSP, ARP, CHU",,,10 augustus 1929,15 mei 1933,26 mei 1933,1385
