Kabinet,Foto,Minister-president,Partijen,Zetelverdeling,Verkiezing,Aantreden,Demissionair,Aftreden,Dagen
Ruijs de Beerenbrouck I,,Charles Ruijs de Beerenbrouck,"RKSP, ARP, CHU",,,1918-09-09,18 juli 1922,1922-09-18,1470
Ruijs de Beerenbrouck II,,Charles Ruijs de Beerenbrouck,"RKSP, ARP, CHU",,,1922-09-18,1 juli 1925,1925-08-04,1051
Colijn I,,Hendrikus Colijn (ARP),"RKSP, ARP, CHU",,,1925-08-04,11 november 1925,1926-03-08,216
De Geer I,,Dirk Jan de Geer (CHU),"RKSP, ARP, CHU",,,1926-03-08,3 juli 1929,1929-08-10,1251
Ruijs de Beerenbrouck III,,Charles Ruijs de Beerenbrouck,"RKSP, ARP, CHU",,,1929-08-10,15 mei 1933,1933-05-26,1385
Colijn II,,Hendrikus Colijn (ARP),"RKSP, ARP, CHU, LSP, VDB",,,1933-05-26,23 juli 1935,1935-07-31,796
Colijn III,,Hendrikus Colijn (ARP),"RKSP, ARP, CHU, LSP, VDB",,,1935-07-31,25 mei 1937,1937-06-24,694
Colijn IV,,Hendrikus Colijn (ARP),"RKSP, ARP, CHU",,,1937-06-24,29 juni 1939,1939-07-25,761
Colijn V,,Hendrikus Colijn,"ARP, CHU, LSP",,,1939-07-25,27 juli 1939,1939-08-10,16
De Geer II,,Dirk Jan de Geer (CHU),"RKSP, SDAP, ARP, CHU, VDB",,,1939-08-10,3 september 1940,1940-09-03,390
Gerbrandy I,,Pieter Gerbrandy (ARP),"RKSP, SDAP, ARP, CHU, VDB",,,1940-09-03,12 juni 1941,1941-07-28,328
Gerbrandy II,,Pieter Gerbrandy (ARP),"RKSP, SDAP, ARP, CHU, LSP, VDB",,,1941-07-28,21 januari 1945,1945-02-23,1306
Gerbrandy III,,Pieter Gerbrandy (ARP),"RKSP, ARP, VDB",,,1945-02-23,12 mei 1945,1945-06-24,121
Schermerhorn-Drees,,Wim Schermerhorn (VDB),"KVP, SDAP, ARP, VDB",,,1945-06-24,16 mei 1946,1946-07-03,374
Beel I,,Louis Beel (KVP),"KVP, PvdA",,,1946-07-03,7 juli 1948,1948-08-07,766
Drees-Van Schaik,,Willem Drees (PvdA),"KVP, PvdA, CHU, VVD",,,1948-08-07,24 januari 1951,1951-03-15,950
Drees I,,Willem Drees (PvdA),"KVP, PvdA, CHU, VVD",,,1951-03-15,25 juni 1952,1952-09-02,537
Drees II,,Willem Drees (PvdA),"PvdA, KVP, ARP, CHU",,,1952-09-02,13 juni 1956,1956-10-13,1502
Drees III,,Willem Drees (PvdA),"PvdA, KVP, ARP, CHU",,,1956-10-13,11 december 1958,1958-12-22,800
Beel II,,Louis Beel (KVP),"KVP, ARP, CHU",,,1958-12-22,12 maart 1959,1959-05-19,148
De Quay,,Jan de Quay (KVP),"KVP, VVD, ARP, CHU",,,1959-05-19,15 mei 1963,1963-07-24,1527
Marijnen,,Victor Marijnen (KVP),"KVP, VVD, ARP, CHU",,,1963-07-24,27 februari 1965,1965-04-14,630
Cals,,Jo Cals (KVP),"KVP, PvdA, ARP",,,1965-04-14,15 oktober 1966,1966-11-22,587
Zijlstra,,Jelle Zijlstra (ARP),"KVP, ARP",,,1966-11-22,15 februari 1967,1967-04-05,134
De Jong,,Piet de Jong (KVP),"KVP, VVD, ARP, CHU",,,1967-04-05,28 april 1971,1971-07-06,1553
Biesheuvel I,,Barend Biesheuvel (ARP),"KVP, VVD, ARP, CHU, DS'70",,,1971-07-06,19 juli 1972,1972-08-09,400
Biesheuvel II,,Barend Biesheuvel (ARP),"KVP, VVD, ARP, CHU",,,1972-08-09,29 november 1972,1973-05-11,275
Den Uyl,,Joop den Uyl (PvdA),"PvdA, KVP, ARP, PPR, D'66",,,1973-05-11,22 maart 1977,1977-12-19,1683
Van Agt I,,Dries van Agt (CDA),"CDA, VVD",,,1977-12-19,26 mei 1981,1981-09-11,1362
Van Agt II,,Dries van Agt (CDA),"CDA, PvdA, D'66",,,1981-09-11,12 mei 1982,1982-05-29,260
Van Agt III,,Dries van Agt (CDA),"CDA, D'66",,,1982-05-29,8 september 1982,1982-11-04,159
Lubbers I,,Ruud Lubbers (CDA),"CDA, VVD",,,1982-11-04,22 mei 1986,1986-07-14,1348
Lubbers II,,Ruud Lubbers (CDA),"CDA, VVD",,,1986-07-14,3 mei 1989,1989-11-07,1212
Lubbers III,,Ruud Lubbers (CDA),"CDA, PvdA",,,1989-11-07,10 mei 1994,1994-08-22,1749
Kok I,,Wim Kok (PvdA),"PvdA, VVD, D66",,,1994-08-22,6 mei 1998,1998-08-03,1442
Kok II,,Wim Kok (PvdA),"PvdA, VVD, D66",,,1998-08-03,16 april 2002,2002-07-22,1449
Balkenende I,,Jan Peter Balkenende (CDA),"CDA, LPF, VVD",,,2002-07-22,16 oktober 2002,2003-05-27,309
Balkenende II,,Jan Peter Balkenende (CDA),"CDA, VVD, D66",,,2003-05-27,30 juni 2006,2006-07-07,1137
Balkenende III,,Jan Peter Balkenende (CDA),"CDA, VVD",,,2006-07-07,21 november 2006,2007-02-22,230
Balkenende IV,,Jan Peter Balkenende (CDA),"CDA, PvdA, ChristenUnie",,,2007-02-22,20 februari 2010,2010-10-14,1330
