Partij,1888,1890,1893,1896,1899,1902,1904,1907,1910,1913,1916,1917,1919,1922
LU,32,32,32,27,24,18,12,13,15,16,15,14,13,
vrije liberalen,,,,4,7,9,7,6,3,0,1,1,1,
Vrijheidsbond,,,,,,,,,,,,,,1
katholieken/AB,10,11,12,13,13,14,18,18,18,18,17,17,17,21
conservatieven,3,2,1,1,1,1,,,,,,,,
gematigde liberalen,2,2,,,,,,,,,,,,
conservatief-liberalen,2,2,1,,,,,,,,,,,
ARP,1,1,4,5,2,5,8,9,9,9,9,9,9,14
Vrij-ARP,,,,,3,3,,,,,,,,
CHP,,,,,,,5,4,,,,,,
CHU,,,,,,,,,5,4,4,4,4,7
VDB,,,,,,,,,,2,2,3,2,4
SDAP,,,,,,,,,,1,2,2,4,3
Totaal,50,50,50,50,50,50,50,50,50,50,50,50,50,50
