Partij,1983,1986,1987,1991,1995,1999,2003,2007,2011,2015,2019,2023
CDA,26,26,26,27,19,20,23,21,11,12,9,6
VVD,17,16,12,12,23,19,15,14,16,13,12,10
PvdA,17,17,26,16,14,15,19,14,14,8,6,7
CPN,2,2,1,,,,,,,,,
PSP,2,2,1,,,,,,,,,
PPR,1,2,1,,,,,,,,,
GL,,,,4,4,8,5,4,5,4,8,7
SGP,2,2,1,2,2,2,2,2,1,2,2,2
D66,6,6,5,12,7,4,3,2,5,10,7,5
GPV,1,1,1,1,1,,,,,,,
RPF,1,1,1,1,1,,,,,,,
CU,,,,,,4,2,4,2,3,4,3
AOV,,,,,2,,,,,,,
SP,,,,,1,2,4,12,8,9,4,3
OPNL,,,,,1,1,1,1,1,1,1,1
LPF,,,,,,,1,,,,,
PvdD,,,,,,,,1,1,2,3,3
PVV,,,,,,,,,10,9,5,4
50PLUS,,,,,,,,,1,2,2,1
FVD,,,,,,,,,,,12,2
BBB,,,,,,,,,,,,16
JA21,,,,,,,,,,,,3
Volt,,,,,,,,,,,,2
Totaal,75,75,75,75,75,75,75,75,75,75,75,75
