Partij,Jaar,Zetels
AB,1956,0
RKSP,1956,0
KVP,1956,17
SDAP,1956,0
VDB,1956,0
PvdA,1956,15
ARP,1956,7
CHU,1956,6
Vrijheidsbond,1956,0
PvdV,1956,0
VVD,1956,4
NSB,1956,0
CPN,1956,1
CDA,1956,0
PSP,1956,0
PPR,1956,0
SGP,1956,1
BP,1956,0
D66,1956,0
GPV,1956,0
KVP,1960,26
ARP,1960,8
CHU,1960,8
CDA,1960,0
VVD,1960,8
PvdA,1960,23
CPN,1960,2
PSP,1960,0
PPR,1960,0
SGP,1960,0
BP,1960,0
D66,1960,0
GPV,1960,0
KVP,1963,26
ARP,1963,7
CHU,1963,7
CDA,1963,0
VVD,1963,7
PvdA,1963,25
CPN,1963,1
PSP,1963,2
PPR,1963,0
SGP,1963,0
BP,1963,0
D66,1963,0
GPV,1963,0
KVP,1966,25
ARP,1966,7
CHU,1966,7
CDA,1966,0
VVD,1966,8
PvdA,1966,22
CPN,1966,1
PSP,1966,3
PPR,1966,0
SGP,1966,0
BP,1966,2
D66,1966,0
GPV,1966,0
KVP,1969,24
ARP,1969,7
CHU,1969,8
CDA,1969,0
VVD,1969,8
PvdA,1969,20
CPN,1969,1
PSP,1969,3
PPR,1969,1
SGP,1969,0
BP,1969,3
D66,1969,0
GPV,1969,0
KVP,1971,22
ARP,1971,7
CHU,1971,7
CDA,1971,0
VVD,1971,8
PvdA,1971,18
CPN,1971,3
PSP,1971,1
PPR,1971,2
SGP,1971,1
BP,1971,0
D66,1971,6
GPV,1971,0
KVP,1974,16
ARP,1974,6
CHU,1974,7
CDA,1974,0
VVD,1974,12
PvdA,1974,21
CPN,1974,4
PSP,1974,0
PPR,1974,4
SGP,1974,1
BP,1974,1
D66,1974,3
GPV,1974,0
KVP,1977,0
ARP,1977,0
CHU,1977,0
CDA,1977,24
VVD,1977,15
PvdA,1977,25
CPN,1977,2
PSP,1977,1
PPR,1977,5
SGP,1977,1
BP,1977,1
D66,1977,0
GPV,1977,1
KVP,1980,0
ARP,1980,0
CHU,1980,0
CDA,1980,27
VVD,1980,13
PvdA,1980,26
CPN,1980,1
PSP,1980,1
PPR,1980,3
SGP,1980,1
BP,1980,0
D66,1980,2
GPV,1980,1
KVP,1981,0
ARP,1981,0
CHU,1981,0
CDA,1981,28
VVD,1981,12
PvdA,1981,28
CPN,1981,1
PSP,1981,0
PPR,1981,1
SGP,1981,1
BP,1981,0
D66,1981,4
GPV,1981,0
CDA,1983,26
VVD,1983,17
PvdA,1983,17
CPN,1983,2
PSP,1983,2
PPR,1983,1
GL,1983,0
SGP,1983,2
D66,1983,6
GPV,1983,1
RPF,1983,1
CU,1983,0
AOV,1983,0
SP,1983,0
OPNL,1983,0
LPF,1983,0
PvdD,1983,0
PVV,1983,0
50PLUS,1983,0
FVD,1983,0
BBB,1983,0
JA21,1983,0
Volt,1983,0
CDA,1986,26
VVD,1986,16
PvdA,1986,17
CPN,1986,2
PSP,1986,2
PPR,1986,2
GL,1986,0
SGP,1986,2
D66,1986,6
GPV,1986,1
RPF,1986,1
CU,1986,0
AOV,1986,0
SP,1986,0
OPNL,1986,0
LPF,1986,0
PvdD,1986,0
PVV,1986,0
50PLUS,1986,0
FVD,1986,0
BBB,1986,0
JA21,1986,0
Volt,1986,0
CDA,1987,26
VVD,1987,12
PvdA,1987,26
CPN,1987,1
PSP,1987,1
PPR,1987,1
GL,1987,0
SGP,1987,1
D66,1987,5
GPV,1987,1
RPF,1987,1
CU,1987,0
AOV,1987,0
SP,1987,0
OPNL,1987,0
LPF,1987,0
PvdD,1987,0
PVV,1987,0
50PLUS,1987,0
FVD,1987,0
BBB,1987,0
JA21,1987,0
Volt,1987,0
CDA,1991,27
VVD,1991,12
PvdA,1991,16
CPN,1991,0
PSP,1991,0
PPR,1991,0
GL,1991,4
SGP,1991,2
D66,1991,12
GPV,1991,1
RPF,1991,1
CU,1991,0
AOV,1991,0
SP,1991,0
OPNL,1991,0
LPF,1991,0
PvdD,1991,0
PVV,1991,0
50PLUS,1991,0
FVD,1991,0
BBB,1991,0
JA21,1991,0
Volt,1991,0
CDA,1995,19
VVD,1995,23
PvdA,1995,14
CPN,1995,0
PSP,1995,0
PPR,1995,0
GL,1995,4
SGP,1995,2
D66,1995,7
GPV,1995,1
RPF,1995,1
CU,1995,0
AOV,1995,2
SP,1995,1
OPNL,1995,1
LPF,1995,0
PvdD,1995,0
PVV,1995,0
50PLUS,1995,0
FVD,1995,0
BBB,1995,0
JA21,1995,0
Volt,1995,0
CDA,1999,20
VVD,1999,19
PvdA,1999,15
CPN,1999,0
PSP,1999,0
PPR,1999,0
GL,1999,8
SGP,1999,2
D66,1999,4
GPV,1999,0
RPF,1999,0
CU,1999,4
AOV,1999,0
SP,1999,2
OPNL,1999,1
LPF,1999,0
PvdD,1999,0
PVV,1999,0
50PLUS,1999,0
FVD,1999,0
BBB,1999,0
JA21,1999,0
Volt,1999,0
CDA,2003,23
VVD,2003,15
PvdA,2003,19
CPN,2003,0
PSP,2003,0
PPR,2003,0
GL,2003,5
SGP,2003,2
D66,2003,3
GPV,2003,0
RPF,2003,0
CU,2003,2
AOV,2003,0
SP,2003,4
OPNL,2003,1
LPF,2003,1
PvdD,2003,0
PVV,2003,0
50PLUS,2003,0
FVD,2003,0
BBB,2003,0
JA21,2003,0
Volt,2003,0
CDA,2007,21
VVD,2007,14
PvdA,2007,14
CPN,2007,0
PSP,2007,0
PPR,2007,0
GL,2007,4
SGP,2007,2
D66,2007,2
GPV,2007,0
RPF,2007,0
CU,2007,4
AOV,2007,0
SP,2007,12
OPNL,2007,1
LPF,2007,0
PvdD,2007,1
PVV,2007,0
50PLUS,2007,0
FVD,2007,0
BBB,2007,0
JA21,2007,0
Volt,2007,0
CDA,2011,11
VVD,2011,16
PvdA,2011,14
CPN,2011,0
PSP,2011,0
PPR,2011,0
GL,2011,5
SGP,2011,1
D66,2011,5
GPV,2011,0
RPF,2011,0
CU,2011,2
AOV,2011,0
SP,2011,8
OPNL,2011,1
LPF,2011,0
PvdD,2011,1
PVV,2011,10
50PLUS,2011,1
FVD,2011,0
BBB,2011,0
JA21,2011,0
Volt,2011,0
CDA,2015,12
VVD,2015,13
PvdA,2015,8
CPN,2015,0
PSP,2015,0
PPR,2015,0
GL,2015,4
SGP,2015,2
D66,2015,10
GPV,2015,0
RPF,2015,0
CU,2015,3
AOV,2015,0
SP,2015,9
OPNL,2015,1
LPF,2015,0
PvdD,2015,2
PVV,2015,9
50PLUS,2015,2
FVD,2015,0
BBB,2015,0
JA21,2015,0
Volt,2015,0
CDA,2019,9
VVD,2019,12
PvdA,2019,6
