Partij,Jaar,Zetels
AB,1956,0
AB,1957,0
AB,1958,0
AB,1959,0
AB,1960,0
AB,1961,0
AB,1962,0
AB,1963,0
AB,1964,0
AB,1965,0
AB,1966,0
AB,1967,0
AB,1968,0
AB,1969,0
AB,1970,0
AB,1971,0
AB,1972,0
AB,1973,0
AB,1974,0
AB,1975,0
AB,1976,0
AB,1977,0
AB,1978,0
AB,1979,0
AB,1980,0
AB,1981,0
AB,1982,0
AB,1983,0
AB,1984,0
AB,1985,0
AB,1986,0
AB,1987,0
AB,1988,0
AB,1989,0
AB,1990,0
AB,1991,0
AB,1992,0
AB,1993,0
AB,1994,0
AB,1995,0
AB,1996,0
AB,1997,0
AB,1998,0
AB,1999,0
AB,2000,0
AB,2001,0
AB,2002,0
AB,2003,0
AB,2004,0
AB,2005,0
AB,2006,0
AB,2007,0
AB,2008,0
AB,2009,0
AB,2010,0
AB,2011,0
AB,2012,0
AB,2013,0
AB,2014,0
AB,2015,0
AB,2016,0
AB,2017,0
AB,2018,0
AB,2019,0
AB,2020,0
AB,2021,0
AB,2022,0
AB,2023,0
AB,2024,0
AB,2025,0
GPV,1956,0
GPV,1957,0
GPV,1958,0
GPV,1959,0
GPV,1960,0
GPV,1961,0
GPV,1962,0
GPV,1963,0
GPV,1964,0
GPV,1965,0
GPV,1966,0
GPV,1967,0
GPV,1968,0
GPV,1969,0
GPV,1970,0
GPV,1971,0
GPV,1972,0
GPV,1973,0
GPV,1974,0
GPV,1975,0
GPV,1976,0
GPV,1977,1
GPV,1978,1
GPV,1979,1
GPV,1980,1
GPV,1981,0
GPV,1982,0
GPV,1983,1
GPV,1984,1
GPV,1985,1
GPV,1986,1
GPV,1987,1
GPV,1988,1
GPV,1989,1
GPV,1990,1
GPV,1991,1
GPV,1992,1
GPV,1993,1
GPV,1994,1
GPV,1995,1
GPV,1996,1
GPV,1997,1
GPV,1998,1
GPV,1999,0
GPV,2000,0
GPV,2001,0
GPV,2002,0
GPV,2003,0
GPV,2004,0
GPV,2005,0
GPV,2006,0
GPV,2007,0
GPV,2008,0
GPV,2009,0
GPV,2010,0
GPV,2011,0
GPV,2012,0
GPV,2013,0
GPV,2014,0
GPV,2015,0
GPV,2016,0
GPV,2017,0
GPV,2018,0
GPV,2019,0
GPV,2020,0
GPV,2021,0
GPV,2022,0
GPV,2023,0
GPV,2024,0
GPV,2025,0
D66,1956,0
D66,1957,0
D66,1958,0
D66,1959,0
D66,1960,0
D66,1961,0
D66,1962,0
D66,1963,0
D66,1964,0
D66,1965,0
D66,1966,0
D66,1967,0
D66,1968,0
D66,1969,0
D66,1970,0
D66,1971,6
D66,1972,6
D66,1973,6
D66,1974,3
D66,1975,3
D66,1976,3
D66,1977,0
D66,1978,0
D66,1979,0
D66,1980,2
D66,1981,4
D66,1982,4
D66,1983,6
D66,1984,6
D66,1985,6
D66,1986,6
D66,1987,5
D66,1988,5
D66,1989,5
D66,1990,5
D66,1991,12
D66,1992,12
D66,1993,12
D66,1994,12
D66,1995,7
D66,1996,7
D66,1997,7
D66,1998,7
D66,1999,4
D66,2000,4
D66,2001,4
D66,2002,4
D66,2003,3
D66,2004,3
D66,2005,3
D66,2006,3
D66,2007,2
D66,2008,2
D66,2009,2
D66,2010,2
D66,2011,5
D66,2012,5
D66,2013,5
D66,2014,5
D66,2015,10
D66,2016,10
D66,2017,10
D66,2018,10
D66,2019,7
D66,2020,7
D66,2021,7
D66,2022,7
D66,2023,5
D66,2024,5
D66,2025,5
BP,1956,0
BP,1957,0
BP,1958,0
BP,1959,0
BP,1960,0
BP,1961,0
