id,updated,nummer,afkorting,naamNl,naamEn,aantalZetels,aantalStemmen,datumActief,datumInactief
ea081a13-e90e-4b8c-a917-95b7026bb635,2023-08-29T11:23:19.7179164Z,2761,LPF,Lijst Pim Fortuyn,List Pim Fortuyn,,541233,2002-05-23,2006-11-29
771d14b3-7360-4adc-821e-6d09d57b3f82,2023-08-29T11:23:19.7022918Z,2758,Groep Wijnschenk,Groep Wijnschenk,Group Wijnschenk,,,2002-11-12,2003-01-29
af740a5b-1910-4159-8a26-f71480962c0b,2023-08-29T11:23:19.7335428Z,2762,Groep Nawijn,Groep Nawijn,Group Nawijn,,23030,2005-06-23,2006-11-29
037d290b-4b01-46b3-b95e-c145ddfd1474,2023-08-29T11:23:19.7179164Z,2759,Groep Lazrak,Groep Lazrak,Group Lazrak,,2387,2004-02-04,2006-11-29
d7cec3bd-f1f1-41ec-80f5-db5b66be3b86,2023-08-29T11:23:19.7647968Z,2766,Groep Eerdmans-van Schijndel,Groep Eerdmans-van Schijndel,Group Eerdmans-van Schijndel,,,2006-09-25,2006-11-29
ba2fa401-7f36-46ae-b7a3-68f006bfb7f2,2023-08-29T11:23:19.6866639Z,2755,Groep De Jong,Groep De Jong,Group De Jong,,,2002-10-02,2003-01-29
2590e192-a08d-4558-aa34-443c8816dfce,2023-08-29T11:23:19.7335428Z,2757,Groep van Oudenallen,Groep van Oudenallen,Group van Oudenallen,,,2006-07-07,2006-11-29
eb72ccb0-e80a-42d0-8b15-ebc30051447c,2023-08-29T11:23:21.8117142Z,2785,Klein,Klein,Klein,0,3511,2014-11-13,2017-03-22
b094bfef-e14b-4868-8d2e-78e12c6077d1,2023-08-29T11:23:21.7648393Z,2779,50PLUS/Baay-Timmerman,50PLUS/Baay-Timmerman,50PLUS/Baay-Timmerman,,,2014-06-03,2014-11-13
2833a04a-0b87-4f74-bd9e-6597f695db43,2023-08-29T11:23:21.7648393Z,2782,Monasch,Monasch,Monasch,0,,2016-11-08,2017-03-22
e2c3dd23-f247-430a-9c94-53f9f5c06c0b,2023-08-29T11:23:21.7804637Z,2780,Van Vliet,Van Vliet,Van Vliet,0,1113,2014-03-21,2017-03-22
fc594dee-bad8-4caf-ba89-9496537c3527,2023-08-29T11:23:21.8585905Z,2786,GrBvK,Groep Bontes/Van Klaveren,Group Bontes/Van Klaveren,0,,2014-04-15,2017-03-22
06c7d1e6-394d-40db-ad2a-141a20124714,2023-08-29T11:23:21.8117142Z,2771,Groep Wilders,Groep Wilders,Group Wilders,,4763,2004-09-02,2006-11-29
489c052b-1917-4a1e-918d-1ef58fda123b,2023-08-29T11:23:21.8117142Z,2769,Verdonk,Verdonk,Verdonk,,620555,2007-01-01,2010-06-16
5b457d01-2569-40e3-9201-b99b1d80c471,2023-08-29T11:23:21.8898408Z,2787,Houwers,Houwers,Houwers,0,,2015-03-25,2017-03-22
831e85cb-62dc-4341-84ec-78c3c593c244,2023-08-29T11:23:21.8273484Z,2772,BONTES,Bontes,Bontes,,,2013-10-29,2017-02-14
b04f833d-8704-4f2c-bd98-83f3068dbb24,2023-08-29T11:23:21.7960904Z,2781,GrKÖ,Groep Kuzu/Öztürk,Group Kuzu/Öztürk,0,,2014-11-14,2017-03-22
