Partij,Jaar,Zetels
AB/RKSP,1918,30
KVP,1918,0
SDAP,1918,22
VDB,1918,5
PvdA,1918,0
ARP,1918,13
CHU,1918,7
Liberale Unie,1918,6
Vrije Liberalen,1918,4
Economische Bond,1918,3
Vrijheidsbond/LSP,1918,0
PvdV,1918,0
VVD,1918,0
SDP/CPH/CPN,1918,2
CDP,1918,1
SP,1918,1
Plattelandersbond,1918,1
SGP,1918,0
HGSP,1918,0
RKVP/KDP,1918,0
CDU,1918,0
RSP/RSAP,1918,0
NSB,1918,0
Lijst Welter / KNP,1918,0
overig/onafh.,1918,5
AB/RKSP,1922,32
KVP,1922,0
SDAP,1922,20
VDB,1922,5
PvdA,1922,0
ARP,1922,16
CHU,1922,11
Liberale Unie,1922,0
Vrije Liberalen,1922,0
Economische Bond,1922,0
Vrijheidsbond/LSP,1922,10
PvdV,1922,0
VVD,1922,0
SDP/CPH/CPN,1922,2
CDP,1922,0
SP,1922,0
Plattelandersbond,1922,2
SGP,1922,1
HGSP,1922,0
RKVP/KDP,1922,0
CDU,1922,0
RSP/RSAP,1922,0
NSB,1922,0
Lijst Welter / KNP,1922,0
overig/onafh.,1922,1
AB/RKSP,1925,30
KVP,1925,0
SDAP,1925,24
VDB,1925,7
PvdA,1925,0
ARP,1925,13
CHU,1925,11
Liberale Unie,1925,0
Vrije Liberalen,1925,0
Economische Bond,1925,0
Vrijheidsbond/LSP,1925,9
PvdV,1925,0
VVD,1925,0
SDP/CPH/CPN,1925,1
CDP,1925,0
SP,1925,0
Plattelandersbond,1925,1
SGP,1925,2
HGSP,1925,1
RKVP/KDP,1925,1
CDU,1925,0
RSP/RSAP,1925,0
NSB,1925,0
Lijst Welter / KNP,1925,0
overig/onafh.,1925,0
AB/RKSP,1929,30
KVP,1929,0
SDAP,1929,24
VDB,1929,7
PvdA,1929,0
ARP,1929,12
CHU,1929,11
Liberale Unie,1929,0
Vrije Liberalen,1929,0
Economische Bond,1929,0
Vrijheidsbond/LSP,1929,8
PvdV,1929,0
VVD,1929,0
SDP/CPH/CPN,1929,2
CDP,1929,0
SP,1929,0
Plattelandersbond,1929,1
SGP,1929,3
HGSP,1929,1
RKVP/KDP,1929,0
CDU,1929,0
RSP/RSAP,1929,0
NSB,1929,0
Lijst Welter / KNP,1929,0
overig/onafh.,1929,1
AB/RKSP,1933,28
KVP,1933,0
SDAP,1933,22
VDB,1933,6
PvdA,1933,0
ARP,1933,14
CHU,1933,10
Liberale Unie,1933,0
Vrije Liberalen,1933,0
Economische Bond,1933,0
Vrijheidsbond/LSP,1933,7
PvdV,1933,0
VVD,1933,0
SDP/CPH/CPN,1933,4
CDP,1933,0
SP,1933,0
Plattelandersbond,1933,1
SGP,1933,3
HGSP,1933,1
RKVP/KDP,1933,1
CDU,1933,1
RSP/RSAP,1933,1
NSB,1933,0
Lijst Welter / KNP,1933,0
overig/onafh.,1933,1
AB/RKSP,1937,31
KVP,1937,0
SDAP,1937,23
VDB,1937,6
PvdA,1937,0
ARP,1937,17
CHU,1937,8
Liberale Unie,1937,0
Vrije Liberalen,1937,0
Economische Bond,1937,0
Vrijheidsbond/LSP,1937,4
PvdV,1937,0
VVD,1937,0
SDP/CPH/CPN,1937,3
CDP,1937,0
SP,1937,0
Plattelandersbond,1937,0
SGP,1937,2
HGSP,1937,0
RKVP/KDP,1937,0
CDU,1937,2
RSP/RSAP,1937,0
NSB,1937,4
Lijst Welter / KNP,1937,0
overig/onafh.,1937,0
AB/RKSP,1946,0
KVP,1946,32
SDAP,1946,0
VDB,1946,0
PvdA,1946,29
ARP,1946,13
CHU,1946,8
Liberale Unie,1946,0
Vrije Liberalen,1946,0
Economische Bond,1946,0
Vrijheidsbond/LSP,1946,0
PvdV,1946,6
VVD,1946,0
SDP/CPH/CPN,1946,10
CDP,1946,0
SP,1946,0
Plattelandersbond,1946,0
SGP,1946,2
HGSP,1946,0
RKVP/KDP,1946,0
CDU,1946,0
RSP/RSAP,1946,0
NSB,1946,0
Lijst Welter / KNP,1946,0
overig/onafh.,1946,0
AB/RKSP,1948,0
KVP,1948,32
SDAP,1948,0
VDB,1948,0
PvdA,1948,27
ARP,1948,13
CHU,1948,9
Liberale Unie,1948,0
Vrije Liberalen,1948,0
Economische Bond,1948,0
Vrijheidsbond/LSP,1948,0
PvdV,1948,0
VVD,1948,8
SDP/CPH/CPN,1948,8
CDP,1948,0
SP,1948,0
Plattelandersbond,1948,0
SGP,1948,2
HGSP,1948,0
RKVP/KDP,1948,0
CDU,1948,0
RSP/RSAP,1948,0
NSB,1948,0
Lijst Welter / KNP,1948,1
overig/onafh.,1948,0
AB/RKSP,1952,0
KVP,1952,30
SDAP,1952,0
VDB,1952,0
PvdA,1952,30
ARP,1952,12
CHU,1952,9
Liberale Unie,1952,0
Vrije Liberalen,1952,0
Economische Bond,1952,0
Vrijheidsbond/LSP,1952,0
PvdV,1952,0
VVD,1952,9
SDP/CPH/CPN,1952,6
CDP,1952,0
SP,1952,0
Plattelandersbond,1952,0
SGP,1952,2
HGSP,1952,0
RKVP/KDP,1952,0
CDU,1952,0
RSP/RSAP,1952,0
NSB,1952,0
Lijst Welter / KNP,1952,2
overig/onafh.,1952,0
