Partij,1918,1922,1925,1929,1933,1937,1946,1948,1952,1956
AB/RKSP,30,32,30,30,28,31,,,,
KVP,,,,,,,32,32,30,33
SDAP,22,20,24,24,22,23,,,,
VDB,5,5,7,7,6,6,,,,
PvdA,,,,,,,29,27,30,34
ARP,13,16,13,12,14,17,13,13,12,10
CHU,7,11,11,11,10,8,8,9,9,8
Liberale Unie,6,,,,,,,,,
Vrije Liberalen,4,,,,,,,,,
Economische Bond,3,,,,,,,,,
Vrijheidsbond/LSP,,10,9,8,7,4,,,,
PvdV,,,,,,,6,,,
VVD,,,,,,,,8,9,9
SDP/CPH/CPN,2,2,1,2,4,3,10,8,6,4
CDP,1,,,,,,,,
SP,1,,,,,,,,,
Plattelandersbond,1,2,1,1,1,,,,,
SGP,,1,2,3,3,2,2,2,2,2
HGSP,,,1,1,1,,,,,
RKVP/KDP,,,1,,1,,,,,
CDU,,,,,1,2,,,
RSP/RSAP,,,,,1,,,,,
NSB,,,,,,4,,,,
Lijst Welter / KNP,,,,,,,,1,2,
overig/onafh.,5,1,,1,1,,,,,
Totaal,100,100,100,100,100,100,100,100,100,100
