Filename,Party,Speech
0016b926-2a8d-4bf1-bde3-c754311e117c.pdf.txt,VOORZITTER,Dan geef ik nu het woord aan de heer Slootweg namens het CDA voor zijn vraag aan de staatssecretaris van Sociale Zaken en Werkgelegenheid over de toename van het aantal klanten van de Voedselbank. Ik heet de staatssecretaris van harte welkom.
0016b926-2a8d-4bf1-bde3-c754311e117c.pdf.txt,VOORZITTER,Dan is nu het woord aan de staatssecretaris. Van 't Wout: Voorzitter. Dank aan de heer Slootweg en terecht dat hij vragen stelt over het artikel in de Volkskrant dat ik natuurlijk ook gelezen heb. De voedselbanken waren — en dat heb ik vorige week toen wij mondelinge vragen hadden die een beetje raakten aan de impact van de coronacrisis op de kwetsbaren ook gezegd — een van mijn eerste werkbezoeken en ik ga daar binnenkort ook weer langs. En ja het loopt daar op. Voor zover wij nu kunnen zien maar dat zijn de cijfers van eind juni zien wij landelijk een stijging van zo'n 8% à 9% aan toeloop van mensen. We zien wel dat er grote regionale verschillen zijn. En hij gaf dat zelf ook al aan: zeker in gebieden waar veel sectoren zitten die hard getroffen worden is de oploop groter. Iedere maand zo'nbeetje spreken wij ook met de voedselbanken. Ik zal hun vragen of zij misschien nog wat exacter inzicht kunnen geven in die cijfers dan kan ik die u ook geven. U vroeg naar de 4 miljoen die wij als garantstelling hebben gegeven. In het periodieke overleg dat wij hebben is nog steeds het beeld als volgt. Die 4 miljoen is nog niet aangesproken dat is nog niet nodig geweest dus die blijft voorlopig gewoon staan. Maar ja niemand van ons weet — helaas natuurlijk — hoe het zich allemaal verder zal ontwikkelen de komende tijd. Maar het is wel goed dat ook daar allemaal scenario's bij de voedselbanken voor klaarliggen. Verder vraagt de heer Slootweg: hoe ga je nou om met de schaamte die mensen voelen? Dat is best een ingewikkelde. Die schaamte kunnen we denk ik ook wel een beetje begrijpen. Ik heb vorige week ook verteld over de hele campagne die we weer gestart zijn over schuld en armoede die eigenlijk specifiek daarop gericht is en juist ook op die nieuwe groepen die nu in beeld komen en die kwetsbaar zijn geworden. Overigens verwijs ik natuurlijk ook nog naar het hele grote steunpakket dat we als kabinet vrijdag twee weken terug gepresenteerd hebben waarin ook veel extra geld wordt vrijgemaakt voor armoede en schuld en waarbij we ook in de uitwerking veel aandacht voor kinderen zullen hebben. Volgens mij waren dat de vragen van de heer Slootweg.
0016b926-2a8d-4bf1-bde3-c754311e117c.pdf.txt,VOORZITTER,Ja.
0016b926-2a8d-4bf1-bde3-c754311e117c.pdf.txt,VOORZITTER,Dan heb ik mevrouw Van Brenk de heer Azarkan en mevrouw Van Beukering-Huijbregts.
0016b926-2a8d-4bf1-bde3-c754311e117c.pdf.txt,VOORZITTER,Dank u wel. Dan wachten we even op de wisseling van de wacht.
0016b926-2a8d-4bf1-bde3-c754311e117c.pdf.txt,VOORZITTER,Minister ik verzoek u om kort te antwoorden.
0016b926-2a8d-4bf1-bde3-c754311e117c.pdf.txt,VOORZITTER,Minister omdat u de PVV-fractie nadrukkelijk uitdaagt geef ik de heer Van Klaveren de gelegenheid om een weerwoord te geven.
0016b926-2a8d-4bf1-bde3-c754311e117c.pdf.txt,VOORZITTER,Mijnheer Van Klaveren deze vraag mag u beantwoorden.
0016b926-2a8d-4bf1-bde3-c754311e117c.pdf.txt,VOORZITTER,Ik zie dat de minister weer wil reageren. Volgens mij gaan we nu zetten herhalen minister.
0016b926-2a8d-4bf1-bde3-c754311e117c.pdf.txt,VOORZITTER,Tot slot mijnheer Van Klaveren.
