Party,Predicted Class,Top 1 Topic,Top 1 Probability (%),Top 2 Topic,Top 2 Probability (%),Top 3 Topic,Top 3 Probability (%)
VOORZITTER,413 - Nationalisation,413 - Nationalisation,2.9,412 - Controlled Economy,2.73,604 - Traditional Morality: Negative,2.52
VOORZITTER,606 - Civic Mindedness: Positive,606 - Civic Mindedness: Positive,2.84,401 - Free Market Economy,2.66,103 - Anti-Imperialism,2.61
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,2.82,106 - Peace,2.7,102 - Foreign Special Relationships: Negative,2.6
VOORZITTER,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,3.18,401 - Free Market Economy,3.04,110 - European Community/Union: Negative,2.55
VOORZITTER,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,3.14,413 - Nationalisation,3.1,604 - Traditional Morality: Negative,2.74
VOORZITTER,103 - Anti-Imperialism,103 - Anti-Imperialism,3.06,102 - Foreign Special Relationships: Negative,2.87,412 - Controlled Economy,2.65
VOORZITTER,401 - Free Market Economy,401 - Free Market Economy,3.59,102 - Foreign Special Relationships: Negative,3.3,103 - Anti-Imperialism,2.95
VOORZITTER,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,2.83,413 - Nationalisation,2.81,412 - Controlled Economy,2.72
VOORZITTER,401 - Free Market Economy,401 - Free Market Economy,3.12,102 - Foreign Special Relationships: Negative,2.93,412 - Controlled Economy,2.8
VOORZITTER,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,3.34,401 - Free Market Economy,3.24,412 - Controlled Economy,2.89
VOORZITTER,401 - Free Market Economy,401 - Free Market Economy,3.01,103 - Anti-Imperialism,2.94,105 - Military: Negative,2.79
VOORZITTER,401 - Free Market Economy,401 - Free Market Economy,3.25,413 - Nationalisation,3.02,102 - Foreign Special Relationships: Negative,2.68
VOORZITTER,401 - Free Market Economy,401 - Free Market Economy,3.57,103 - Anti-Imperialism,3.44,412 - Controlled Economy,2.98
VOORZITTER,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,3.0,413 - Nationalisation,2.86,412 - Controlled Economy,2.78
VOORZITTER,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,3.16,413 - Nationalisation,2.86,606 - Civic Mindedness: Positive,2.84
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,2.92,102 - Foreign Special Relationships: Negative,2.91,413 - Nationalisation,2.78
VOORZITTER,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,3.13,412 - Controlled Economy,2.93,413 - Nationalisation,2.72
VOORZITTER,401 - Free Market Economy,401 - Free Market Economy,3.38,102 - Foreign Special Relationships: Negative,2.98,103 - Anti-Imperialism,2.95
VOORZITTER,606 - Civic Mindedness: Positive,606 - Civic Mindedness: Positive,2.64,106 - Peace,2.57,401 - Free Market Economy,2.51
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,3.1,102 - Foreign Special Relationships: Negative,2.93,103 - Anti-Imperialism,2.76
VOORZITTER,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,2.89,413 - Nationalisation,2.83,412 - Controlled Economy,2.61
VOORZITTER,606 - Civic Mindedness: Positive,606 - Civic Mindedness: Positive,3.01,302 - Centralisation,2.76,102 - Foreign Special Relationships: Negative,2.72
VOORZITTER,304 - Political Corruption,304 - Political Corruption,2.75,606 - Civic Mindedness: Positive,2.74,415 - Marxist Analysis: Positive,2.67
VOORZITTER,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,3.17,401 - Free Market Economy,3.17,103 - Anti-Imperialism,2.93
VOORZITTER,103 - Anti-Imperialism,103 - Anti-Imperialism,3.14,401 - Free Market Economy,2.95,412 - Controlled Economy,2.8
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,2.7,401 - Free Market Economy,2.67,102 - Foreign Special Relationships: Negative,2.48
VOORZITTER,606 - Civic Mindedness: Positive,606 - Civic Mindedness: Positive,2.93,103 - Anti-Imperialism,2.68,401 - Free Market Economy,2.6
VOORZITTER,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,3.17,412 - Controlled Economy,2.86,606 - Civic Mindedness: Positive,2.73
VOORZITTER,409 - Keynesian Demand Management,409 - Keynesian Demand Management,3.07,102 - Foreign Special Relationships: Negative,2.98,413 - Nationalisation,2.84
VOORZITTER,413 - Nationalisation,413 - Nationalisation,3.01,102 - Foreign Special Relationships: Negative,2.61,412 - Controlled Economy,2.55
VOORZITTER,401 - Free Market Economy,401 - Free Market Economy,2.82,102 - Foreign Special Relationships: Negative,2.8,412 - Controlled Economy,2.76
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,3.06,102 - Foreign Special Relationships: Negative,2.96,103 - Anti-Imperialism,2.89
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,3.04,413 - Nationalisation,2.94,102 - Foreign Special Relationships: Negative,2.91
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,3.08,413 - Nationalisation,2.98,102 - Foreign Special Relationships: Negative,2.88
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,3.18,102 - Foreign Special Relationships: Negative,2.94,401 - Free Market Economy,2.8
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,3.07,102 - Foreign Special Relationships: Negative,2.94,413 - Nationalisation,2.83
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,2.86,102 - Foreign Special Relationships: Negative,2.85,401 - Free Market Economy,2.83
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,2.97,102 - Foreign Special Relationships: Negative,2.79,413 - Nationalisation,2.78
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,2.98,102 - Foreign Special Relationships: Negative,2.92,413 - Nationalisation,2.91
VOORZITTER,413 - Nationalisation,413 - Nationalisation,3.02,412 - Controlled Economy,2.97,102 - Foreign Special Relationships: Negative,2.88
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,3.0,102 - Foreign Special Relationships: Negative,2.91,413 - Nationalisation,2.86
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,2.99,102 - Foreign Special Relationships: Negative,2.93,413 - Nationalisation,2.92
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,2.9,413 - Nationalisation,2.87,102 - Foreign Special Relationships: Negative,2.84
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,2.95,102 - Foreign Special Relationships: Negative,2.89,413 - Nationalisation,2.88
VOORZITTER,412 - Controlled Economy,412 - Controlled Economy,2.99,102 - Foreign Special Relationships: Negative,2.97,413 - Nationalisation,2.92
VOORZITTER,401 - Free Market Economy,401 - Free Market Economy,2.96,102 - Foreign Special Relationships: Negative,2.76,110 - European Community/Union: Negative,2.74
VOORZITTER,413 - Nationalisation,413 - Nationalisation,3.05,401 - Free Market Economy,2.8,102 - Foreign Special Relationships: Negative,2.71
CDA,606 - Civic Mindedness: Positive,606 - Civic Mindedness: Positive,2.66,413 - Nationalisation,2.55,103 - Anti-Imperialism,2.5
CDA,103 - Anti-Imperialism,103 - Anti-Imperialism,2.8,606 - Civic Mindedness: Positive,2.72,401 - Free Market Economy,2.68
CDA,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,2.6,606 - Civic Mindedness: Positive,2.59,412 - Controlled Economy,2.51
CDA,302 - Centralisation,302 - Centralisation,2.73,413 - Nationalisation,2.68,404 - Economic Planning,2.57
CDA,703 - Agriculture and Farmers: Positive,703 - Agriculture and Farmers: Positive,3.11,304 - Political Corruption,2.97,401 - Free Market Economy,2.91
CDA,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,2.91,606 - Civic Mindedness: Positive,2.66,412 - Controlled Economy,2.6
CDA,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,3.02,413 - Nationalisation,2.7,103 - Anti-Imperialism,2.68
CDA,102 - Foreign Special Relationships: Negative,102 - Foreign Special Relationships: Negative,2.87,412 - Controlled Economy,2.73,413 - Nationalisation,2.69
CDA,401 - Free Market Economy,401 - Free Market Economy,3.14,101 - Foreign Special Relationships: Positive,2.66,103 - Anti-Imperialism,2.59
